,as_of_date,company_name,followers_count
272950,2016-10-10,Intuitive Surgical,43143
272951,2016-10-10,The Kraft Heinz Company,245520
272953,2016-10-10,Mondelēz International,553047
272954,2016-10-10,Monster Energy,26018
272955,2016-10-10,Netflix,356502
272956,2016-10-10,NXP Semiconductors,96991
272957,2016-10-10,Costco Wholesale,146056
272962,2016-10-10,Walgreens,183180
272965,2016-10-10,American Electric Power,33052
273000,2016-10-10,Tesla,810389
273003,2016-10-10,Splunk,65606
273010,2016-10-10,Vertex Pharmaceuticals,57203
273055,2016-10-10,Cadence Design Systems,57699
273086,2016-10-10,Xcel Energy,38227
273091,2016-10-10,Marriott International,452878
273102,2016-10-10,Comcast,177607
273111,2016-10-10,Micron Technology,71364
273113,2016-10-10,O'Reilly Auto Parts,21253
273120,2016-10-10,Align Technology,18075
273146,2016-10-10,KLA-Tencor,57007
273149,2016-10-10,PACCAR,32640
273151,2016-10-10,Microchip Technology Inc.,45340
273153,2016-10-10,Mercadolibre.com,34318
273174,2016-10-10,VERISIGN,22460
273179,2016-10-10,Microsoft,3148306
273228,2016-10-10,Qualcomm,258045
273229,2016-10-10,NetEase,23312
273255,2016-10-10,Activision,87671
273271,2016-10-10,Paychex,46118
273312,2016-10-10,Dexcom,12551
273393,2016-10-10,ADP,346451
273482,2016-10-10,Amgen,239643
273530,2016-10-10,Illumina,74468
273609,2016-10-10,NVIDIA,184234
273626,2016-10-10,PepsiCo,1286558
273634,2016-10-10,Copart,12233
273635,2016-10-10,Intuit,121920
273660,2016-10-10,Facebook,1344269
273775,2016-10-11,AMD,143719
273819,2016-10-11,Cognizant,965062
273859,2016-10-11,Cisco,1310529
273871,2016-10-11,CDW,63560
273899,2016-10-11,Intel Corporation,794224
273921,2016-10-11,Fiserv,123345
273965,2016-10-11,Sirius XM Radio Inc.,26397
274007,2016-10-11,eBay,251846
274011,2016-10-11,Amazon,1821416
274014,2016-10-11,Adobe,618108
274038,2016-10-11,Xilinx,66580
274043,2016-10-11,PayPal,217307
274050,2016-10-11,Apple,3154835
274071,2016-10-11,Cintas,56754
274074,2016-10-11,Verisk Analytics,19477
274088,2016-10-11,Maxim Integrated,39108
274089,2016-10-11,Google,4424546
274098,2016-10-11,Texas Instruments,209761
274101,2016-10-11,Atlassian,68012
274121,2016-10-11,Exelon,54666
274138,2016-10-11,Biogen,111557
274140,2016-10-11,TripAdvisor,137995
274153,2016-10-11,CSX,48423
274155,2016-10-11,IDEXX,34078
274168,2016-10-11,Electronic Arts (EA),257796
274196,2016-10-11,Starbucks,729275
274215,2016-10-11,Gilead Sciences,132898
274221,2016-10-11,Dollar Tree Stores,28122
274229,2016-10-11,Cerner Corporation,103476
274241,2016-10-11,Analog Devices,56122
274243,2016-10-11,Broadcom Limited,127750
274252,2016-10-11,Marvell Semiconductor,78265
274267,2016-10-11,Match.com,8544
274268,2016-10-11,Applied Materials,97156
274270,2016-10-11,Charter Communications,43287
274272,2016-10-11,21st Century Fox,7636
274273,2016-10-11,Intuitive Surgical,43176
274274,2016-10-11,The Kraft Heinz Company,246098
274276,2016-10-11,Mondelēz International,553933
274277,2016-10-11,Monster Energy,26050
274278,2016-10-11,Netflix,357131
274279,2016-10-11,NXP Semiconductors,97141
274281,2016-10-11,Costco Wholesale,146196
274285,2016-10-11,Walgreens,183367
274288,2016-10-11,American Electric Power,33083
274321,2016-10-11,Tesla,812987
274324,2016-10-11,Splunk,65708
274329,2016-10-11,Vertex Pharmaceuticals,57232
274371,2016-10-11,Cadence Design Systems,57740
274386,2016-10-11,Marriott International,453378
274396,2016-10-11,Comcast,177750
274400,2016-10-11,Micron Technology,71430
274402,2016-10-11,O'Reilly Auto Parts,21284
274408,2016-10-11,Align Technology,18091
274431,2016-10-11,KLA-Tencor,57069
274434,2016-10-11,PACCAR,32668
274436,2016-10-11,Microchip Technology Inc.,45382
274438,2016-10-11,Mercadolibre.com,34386
274457,2016-10-11,VERISIGN,22476
274462,2016-10-11,Microsoft,3151184
274505,2016-10-11,Qualcomm,258202
274506,2016-10-11,NetEase,23357
274528,2016-10-11,Activision,87773
274543,2016-10-11,Paychex,46174
274578,2016-10-11,Dexcom,12579
274632,2016-10-11,ADP,346983
274697,2016-10-11,Amgen,239898
274742,2016-10-11,Illumina,74584
274805,2016-10-11,NVIDIA,184409
274818,2016-10-11,PepsiCo,1288991
274821,2016-10-11,Copart,12254
274822,2016-10-11,Intuit,122002
274841,2016-10-11,Facebook,1345872
274975,2016-10-12,AMD,143758
275028,2016-10-12,Cognizant,965648
275080,2016-10-12,Cisco,1310973
275092,2016-10-12,CDW,63570
275120,2016-10-12,Intel Corporation,794567
275143,2016-10-12,Fiserv,123392
275197,2016-10-12,Sirius XM Radio Inc.,26401
275214,2016-10-12,T-Mobile,201618
275244,2016-10-12,eBay,251914
275248,2016-10-12,Amazon,1822378
275251,2016-10-12,Adobe,618325
275277,2016-10-12,Xilinx,66601
275282,2016-10-12,PayPal,217400
275293,2016-10-12,Apple,3155716
275319,2016-10-12,Cintas,56766
275322,2016-10-12,Verisk Analytics,19519
275337,2016-10-12,Google,4425765
275340,2016-10-12,Maxim Integrated,39128
275352,2016-10-12,Texas Instruments,209834
275356,2016-10-12,Atlassian,68046
275379,2016-10-12,Exelon,54672
275399,2016-10-12,Biogen,111588
275401,2016-10-12,TripAdvisor,138040
275407,2016-10-12,Workday,119990
275419,2016-10-12,CSX,48423
275421,2016-10-12,IDEXX,34090
275435,2016-10-12,Electronic Arts (EA),257878
275475,2016-10-12,DocuSign,33605
275479,2016-10-12,Starbucks,729478
275502,2016-10-12,Gilead Sciences,132951
275511,2016-10-12,Dollar Tree Stores,28132
275521,2016-10-12,Cerner Corporation,103503
275534,2016-10-12,Analog Devices,56133
275536,2016-10-12,Broadcom Limited,127766
275546,2016-10-12,Marvell Semiconductor,78282
275564,2016-10-12,Match.com,8555
275565,2016-10-12,Applied Materials,97188
275568,2016-10-12,Charter Communications,43311
275570,2016-10-12,21st Century Fox,7637
275571,2016-10-12,Intuitive Surgical,43179
275572,2016-10-12,The Kraft Heinz Company,246314
275574,2016-10-12,Mondelēz International,554185
275575,2016-10-12,Monster Energy,26067
275576,2016-10-12,Netflix,357302
275577,2016-10-12,NXP Semiconductors,97197
275579,2016-10-12,Costco Wholesale,146249
275583,2016-10-12,Walgreens,183419
275586,2016-10-12,American Electric Power,33091
275621,2016-10-12,Tesla,813625
275624,2016-10-12,Splunk,65744
275631,2016-10-12,Vertex Pharmaceuticals,57246
275676,2016-10-12,Cadence Design Systems,57752
275707,2016-10-12,Xcel Energy,38277
275712,2016-10-12,Marriott International,453559
275723,2016-10-12,Comcast,177796
275732,2016-10-12,Micron Technology,71445
275734,2016-10-12,O'Reilly Auto Parts,21295
275741,2016-10-12,Align Technology,18095
275767,2016-10-12,KLA-Tencor,57097
275771,2016-10-12,Microchip Technology Inc.,45398
275773,2016-10-12,PACCAR,32677
275774,2016-10-12,Mercadolibre.com,34412
275795,2016-10-12,VERISIGN,22478
275796,2016-10-12,Microsoft,3152126
275849,2016-10-12,Qualcomm,258267
275850,2016-10-12,NetEase,23382
275876,2016-10-12,Activision,87803
275892,2016-10-12,Paychex,46181
275933,2016-10-12,Dexcom,12587
276014,2016-10-12,ADP,347129
276101,2016-10-12,Amgen,239965
276151,2016-10-12,Illumina,74619
276229,2016-10-12,NVIDIA,184466
276247,2016-10-12,PepsiCo,1289566
276255,2016-10-12,Copart,12254
276256,2016-10-12,Intuit,122036
276271,2016-10-12,Facebook,1346370
276424,2016-10-13,AMD,143825
276478,2016-10-13,Cognizant,966700
276540,2016-10-13,CDW,63596
276568,2016-10-13,Intel Corporation,795146
276591,2016-10-13,Fiserv,123486
276608,2016-10-13,Cisco,1311747
276646,2016-10-13,Sirius XM Radio Inc.,26418
276663,2016-10-13,T-Mobile,201689
276693,2016-10-13,eBay,252031
276697,2016-10-13,Amazon,1824064
276700,2016-10-13,Adobe,618710
276727,2016-10-13,Xilinx,66653
276731,2016-10-13,PayPal,217560
276742,2016-10-13,Apple,3157284
276768,2016-10-13,Cintas,56789
276771,2016-10-13,Verisk Analytics,19580
276786,2016-10-13,Google,4428051
276789,2016-10-13,Maxim Integrated,39159
276801,2016-10-13,Texas Instruments,209984
276805,2016-10-13,Atlassian,68112
276828,2016-10-13,Exelon,54692
276848,2016-10-13,Biogen,111660
276850,2016-10-13,TripAdvisor,138132
276856,2016-10-13,Workday,120098
276868,2016-10-13,CSX,48439
276870,2016-10-13,IDEXX,34117
276884,2016-10-13,Electronic Arts (EA),258010
276924,2016-10-13,DocuSign,33631
276928,2016-10-13,Starbucks,729866
276951,2016-10-13,Gilead Sciences,133050
276960,2016-10-13,Dollar Tree Stores,28155
276970,2016-10-13,Cerner Corporation,103554
276983,2016-10-13,Analog Devices,56168
276985,2016-10-13,Broadcom Limited,127803
276995,2016-10-13,Marvell Semiconductor,78319
277013,2016-10-13,Match.com,8574
277014,2016-10-13,Applied Materials,97247
277017,2016-10-13,Charter Communications,43362
277019,2016-10-13,21st Century Fox,7647
277020,2016-10-13,Intuitive Surgical,43211
277021,2016-10-13,The Kraft Heinz Company,246615
277023,2016-10-13,Mondelēz International,554742
277024,2016-10-13,Monster Energy,26087
277025,2016-10-13,Netflix,357637
277026,2016-10-13,NXP Semiconductors,97290
277028,2016-10-13,Costco Wholesale,146347
277032,2016-10-13,Walgreens,183537
277035,2016-10-13,American Electric Power,33122
277070,2016-10-13,Tesla,814937
277073,2016-10-13,Splunk,65809
277080,2016-10-13,Vertex Pharmaceuticals,57268
277125,2016-10-13,Cadence Design Systems,57779
277156,2016-10-13,Xcel Energy,38292
277161,2016-10-13,Marriott International,453927
277172,2016-10-13,Comcast,177898
277181,2016-10-13,Micron Technology,71490
277183,2016-10-13,O'Reilly Auto Parts,21311
277190,2016-10-13,Align Technology,18113
277216,2016-10-13,KLA-Tencor,57149
277220,2016-10-13,Microchip Technology Inc.,45423
277222,2016-10-13,PACCAR,32691
277223,2016-10-13,Mercadolibre.com,34458
277244,2016-10-13,VERISIGN,22495
277245,2016-10-13,Microsoft,3153940
277298,2016-10-13,Qualcomm,258383
277299,2016-10-13,NetEase,23427
277325,2016-10-13,Activision,87853
277341,2016-10-13,Paychex,46218
277382,2016-10-13,Dexcom,12600
277463,2016-10-13,ADP,347403
277551,2016-10-13,Amgen,240111
277600,2016-10-13,Illumina,74697
277679,2016-10-13,NVIDIA,184586
277696,2016-10-13,PepsiCo,1290262
277704,2016-10-13,Copart,12264
277705,2016-10-13,Intuit,122092
277720,2016-10-13,Facebook,1347426
277873,2016-10-14,AMD,143889
277926,2016-10-14,Cognizant,967542
277989,2016-10-14,CDW,63619
278017,2016-10-14,Intel Corporation,795617
278040,2016-10-14,Fiserv,123551
278057,2016-10-14,Cisco,1312394
278095,2016-10-14,Sirius XM Radio Inc.,26433
278112,2016-10-14,T-Mobile,201765
278145,2016-10-14,eBay,252125
278149,2016-10-14,Amazon,1825582
278152,2016-10-14,Adobe,619095
278178,2016-10-14,Xilinx,66697
278183,2016-10-14,PayPal,217730
278194,2016-10-14,Apple,3158734
278220,2016-10-14,Cintas,56817
278223,2016-10-14,Verisk Analytics,19656
278238,2016-10-14,Google,4430177
278241,2016-10-14,Maxim Integrated,39173
278253,2016-10-14,Texas Instruments,210086
278257,2016-10-14,Atlassian,68187
278280,2016-10-14,Exelon,54715
278300,2016-10-14,Biogen,111760
278303,2016-10-14,TripAdvisor,138197
278308,2016-10-14,Workday,120197
278320,2016-10-14,CSX,48463
278322,2016-10-14,IDEXX,34134
278336,2016-10-14,Electronic Arts (EA),258131
278376,2016-10-14,DocuSign,33659
278380,2016-10-14,Starbucks,730196
278403,2016-10-14,Gilead Sciences,133148
278412,2016-10-14,Dollar Tree Stores,28166
278422,2016-10-14,Cerner Corporation,103615
278435,2016-10-14,Analog Devices,56193
278437,2016-10-14,Broadcom Limited,127851
278447,2016-10-14,Marvell Semiconductor,78361
278465,2016-10-14,Match.com,8590
278466,2016-10-14,Applied Materials,97306
278469,2016-10-14,Charter Communications,43413
278471,2016-10-14,21st Century Fox,7657
278472,2016-10-14,Intuitive Surgical,43230
278473,2016-10-14,The Kraft Heinz Company,246860
278475,2016-10-14,Mondelēz International,555126
278476,2016-10-14,Monster Energy,26115
278477,2016-10-14,Netflix,357922
278478,2016-10-14,NXP Semiconductors,97362
278479,2016-10-14,Costco Wholesale,146420
278484,2016-10-14,Walgreens,183640
278487,2016-10-14,American Electric Power,33135
278522,2016-10-14,Tesla,815916
278525,2016-10-14,Splunk,65862
278532,2016-10-14,Vertex Pharmaceuticals,57291
278577,2016-10-14,Cadence Design Systems,57818
278608,2016-10-14,Xcel Energy,38304
278613,2016-10-14,Comcast,177992
278614,2016-10-14,Marriott International,454274
278633,2016-10-14,Micron Technology,71531
278635,2016-10-14,O'Reilly Auto Parts,21328
278642,2016-10-14,Align Technology,18132
278668,2016-10-14,KLA-Tencor,57186
278672,2016-10-14,Microchip Technology Inc.,45439
278674,2016-10-14,PACCAR,32708
278675,2016-10-14,Mercadolibre.com,34490
278694,2016-10-14,Microsoft,3155537
278697,2016-10-14,VERISIGN,22504
278750,2016-10-14,Qualcomm,258470
278751,2016-10-14,NetEase,23467
278777,2016-10-14,Activision,87911
278793,2016-10-14,Paychex,46255
278834,2016-10-14,Dexcom,12606
278915,2016-10-14,ADP,347688
279004,2016-10-14,Amgen,240253
279052,2016-10-14,Illumina,74742
279131,2016-10-14,NVIDIA,184697
279148,2016-10-14,PepsiCo,1290919
279156,2016-10-14,Copart,12273
279157,2016-10-14,Intuit,122147
279172,2016-10-14,Facebook,1348306
279325,2016-10-15,AMD,143950
279378,2016-10-15,Cognizant,968275
279441,2016-10-15,CDW,63628
279469,2016-10-15,Intel Corporation,796017
279492,2016-10-15,Fiserv,123614
279509,2016-10-15,Cisco,1312941
279547,2016-10-15,Sirius XM Radio Inc.,26443
279564,2016-10-15,T-Mobile,201850
279597,2016-10-15,eBay,252226
279601,2016-10-15,Amazon,1826754
279604,2016-10-15,Adobe,619471
279630,2016-10-15,Xilinx,66731
279635,2016-10-15,PayPal,217884
279645,2016-10-15,Apple,3159885
279672,2016-10-15,Cintas,56841
279675,2016-10-15,Verisk Analytics,19749
279690,2016-10-15,Google,4431965
279693,2016-10-15,Maxim Integrated,39188
279705,2016-10-15,Texas Instruments,210216
279709,2016-10-15,Atlassian,68217
279732,2016-10-15,Exelon,54740
279752,2016-10-15,Biogen,111816
279754,2016-10-15,TripAdvisor,138258
279760,2016-10-15,Workday,120274
279772,2016-10-15,CSX,48474
279774,2016-10-15,IDEXX,34147
279788,2016-10-15,Electronic Arts (EA),258235
279828,2016-10-15,DocuSign,33666
279832,2016-10-15,Starbucks,730436
279856,2016-10-15,Gilead Sciences,133203
279864,2016-10-15,Dollar Tree Stores,28182
279874,2016-10-15,Cerner Corporation,103656
279887,2016-10-15,Analog Devices,56205
279889,2016-10-15,Broadcom Limited,127892
279899,2016-10-15,Marvell Semiconductor,78394
279917,2016-10-15,Match.com,8597
279918,2016-10-15,Applied Materials,97362
279921,2016-10-15,Charter Communications,43459
279923,2016-10-15,21st Century Fox,7661
279924,2016-10-15,Intuitive Surgical,43258
279925,2016-10-15,The Kraft Heinz Company,247050
279927,2016-10-15,Mondelēz International,555442
279928,2016-10-15,Monster Energy,26126
279929,2016-10-15,Netflix,358176
279930,2016-10-15,NXP Semiconductors,97420
279931,2016-10-15,Costco Wholesale,146483
279936,2016-10-15,Walgreens,183748
279939,2016-10-15,American Electric Power,33149
279974,2016-10-15,Tesla,816634
279977,2016-10-15,Splunk,65928
279984,2016-10-15,Vertex Pharmaceuticals,57303
280029,2016-10-15,Cadence Design Systems,57865
280060,2016-10-15,Xcel Energy,38315
280065,2016-10-15,Comcast,178060
280066,2016-10-15,Marriott International,454539
280085,2016-10-15,Micron Technology,71563
280087,2016-10-15,O'Reilly Auto Parts,21340
280094,2016-10-15,Align Technology,18151
280120,2016-10-15,KLA-Tencor,57224
280124,2016-10-15,Microchip Technology Inc.,45459
280126,2016-10-15,PACCAR,32713
280127,2016-10-15,Mercadolibre.com,34520
280148,2016-10-15,Microsoft,3156879
280149,2016-10-15,VERISIGN,22510
280202,2016-10-15,Qualcomm,258573
280203,2016-10-15,NetEase,23498
280229,2016-10-15,Activision,87960
280245,2016-10-15,Paychex,46285
280286,2016-10-15,Dexcom,12621
280367,2016-10-15,ADP,347911
280456,2016-10-15,Amgen,240370
280504,2016-10-15,Illumina,74793
280583,2016-10-15,NVIDIA,184808
280600,2016-10-15,PepsiCo,1291455
280608,2016-10-15,Copart,12281
280609,2016-10-15,Intuit,122188
280624,2016-10-15,Facebook,1349003
280777,2016-10-16,AMD,143967
280830,2016-10-16,Cognizant,968387
280893,2016-10-16,CDW,63629
280921,2016-10-16,Intel Corporation,796158
280944,2016-10-16,Fiserv,123624
280961,2016-10-16,Cisco,1313047
280999,2016-10-16,Sirius XM Radio Inc.,26445
281016,2016-10-16,T-Mobile,201869
281052,2016-10-16,eBay,252258
281055,2016-10-16,Amazon,1827026
281058,2016-10-16,Adobe,619544
281084,2016-10-16,Xilinx,66739
281089,2016-10-16,PayPal,217927
281100,2016-10-16,Apple,3160163
281126,2016-10-16,Cintas,56845
281129,2016-10-16,Verisk Analytics,19762
281144,2016-10-16,Google,4432371
281147,2016-10-16,Maxim Integrated,39190
281159,2016-10-16,Texas Instruments,210240
281163,2016-10-16,Atlassian,68224
281186,2016-10-16,Exelon,54749
281206,2016-10-16,Biogen,111833
281208,2016-10-16,TripAdvisor,138275
281214,2016-10-16,Workday,120290
281226,2016-10-16,CSX,48479
281228,2016-10-16,IDEXX,34149
281242,2016-10-16,Electronic Arts (EA),258257
281282,2016-10-16,DocuSign,33666
281286,2016-10-16,Starbucks,730524
281309,2016-10-16,Gilead Sciences,133224
281318,2016-10-16,Dollar Tree Stores,28186
281328,2016-10-16,Cerner Corporation,103665
281341,2016-10-16,Analog Devices,56210
281343,2016-10-16,Broadcom Limited,127904
281353,2016-10-16,Marvell Semiconductor,78401
281371,2016-10-16,Match.com,8600
281372,2016-10-16,Applied Materials,97374
281375,2016-10-16,Charter Communications,43469
281377,2016-10-16,21st Century Fox,7664
281378,2016-10-16,Intuitive Surgical,43261
281379,2016-10-16,The Kraft Heinz Company,247086
281381,2016-10-16,Mondelēz International,555503
281382,2016-10-16,Monster Energy,26131
281383,2016-10-16,Netflix,358245
281384,2016-10-16,NXP Semiconductors,97434
281386,2016-10-16,Costco Wholesale,146517
281390,2016-10-16,Walgreens,183777
281393,2016-10-16,American Electric Power,33154
281428,2016-10-16,Tesla,816811
281431,2016-10-16,Splunk,65950
281438,2016-10-16,Vertex Pharmaceuticals,57309
281483,2016-10-16,Cadence Design Systems,57874
281514,2016-10-16,Xcel Energy,38318
281519,2016-10-16,Comcast,178079
281520,2016-10-16,Marriott International,454603
281539,2016-10-16,Micron Technology,71570
281541,2016-10-16,O'Reilly Auto Parts,21343
281548,2016-10-16,Align Technology,18153
281574,2016-10-16,KLA-Tencor,57229
281578,2016-10-16,Microchip Technology Inc.,45465
281580,2016-10-16,PACCAR,32718
281581,2016-10-16,Mercadolibre.com,34522
281597,2016-10-16,Microsoft,3157180
281603,2016-10-16,VERISIGN,22510
281656,2016-10-16,Qualcomm,258593
281657,2016-10-16,NetEase,23501
281683,2016-10-16,Activision,87975
281699,2016-10-16,Paychex,46286
281740,2016-10-16,Dexcom,12622
281821,2016-10-16,ADP,347950
281909,2016-10-16,Amgen,240399
281958,2016-10-16,Illumina,74807
282037,2016-10-16,NVIDIA,184833
282054,2016-10-16,PepsiCo,1291592
282062,2016-10-16,Copart,12283
282063,2016-10-16,Intuit,122200
282078,2016-10-16,Facebook,1349187
282231,2016-10-17,AMD,144004
282284,2016-10-17,Cognizant,968840
282336,2016-10-17,Cisco,1313453
282348,2016-10-17,CDW,63639
282376,2016-10-17,Intel Corporation,796490
282399,2016-10-17,Fiserv,123680
282453,2016-10-17,Sirius XM Radio Inc.,26446
282470,2016-10-17,T-Mobile,201918
282505,2016-10-17,eBay,252334
282509,2016-10-17,Amazon,1827940
282512,2016-10-17,Adobe,619755
282538,2016-10-17,Xilinx,66759
282544,2016-10-17,PayPal,218052
282554,2016-10-17,Apple,3160979
282580,2016-10-17,Cintas,56869
282583,2016-10-17,Verisk Analytics,19802
282598,2016-10-17,Google,4433869
282601,2016-10-17,Maxim Integrated,39210
282613,2016-10-17,Texas Instruments,210325
282617,2016-10-17,Atlassian,68257
282640,2016-10-17,Exelon,54753
282661,2016-10-17,Biogen,111879
282663,2016-10-17,TripAdvisor,138332
282668,2016-10-17,Workday,120340
282680,2016-10-17,CSX,48502
282682,2016-10-17,IDEXX,34159
282696,2016-10-17,Electronic Arts (EA),258346
282736,2016-10-17,DocuSign,33684
282740,2016-10-17,Starbucks,730779
282763,2016-10-17,Gilead Sciences,133273
282772,2016-10-17,Dollar Tree Stores,28196
282782,2016-10-17,Cerner Corporation,103699
282795,2016-10-17,Analog Devices,56228
282797,2016-10-17,Broadcom Limited,127927
282807,2016-10-17,Marvell Semiconductor,78429
282825,2016-10-17,Match.com,8612
282826,2016-10-17,Applied Materials,97414
282829,2016-10-17,Charter Communications,43499
282831,2016-10-17,21st Century Fox,7667
282832,2016-10-17,Intuitive Surgical,43273
282833,2016-10-17,The Kraft Heinz Company,247243
282835,2016-10-17,Mondelēz International,555737
282836,2016-10-17,Monster Energy,26144
282837,2016-10-17,Netflix,358430
282838,2016-10-17,NXP Semiconductors,97483
282840,2016-10-17,Costco Wholesale,146561
282844,2016-10-17,Walgreens,183860
282847,2016-10-17,American Electric Power,33162
282882,2016-10-17,Tesla,817463
282885,2016-10-17,Splunk,65992
282892,2016-10-17,Vertex Pharmaceuticals,57328
282937,2016-10-17,Cadence Design Systems,57902
282968,2016-10-17,Xcel Energy,38326
282973,2016-10-17,Marriott International,454851
282984,2016-10-17,Comcast,178118
282993,2016-10-17,Micron Technology,71600
282995,2016-10-17,O'Reilly Auto Parts,21350
283002,2016-10-17,Align Technology,18161
283028,2016-10-17,KLA-Tencor,57255
283031,2016-10-17,PACCAR,32730
283033,2016-10-17,Microchip Technology Inc.,45478
283035,2016-10-17,Mercadolibre.com,34531
283056,2016-10-17,VERISIGN,22515
283060,2016-10-17,Microsoft,3158117
283110,2016-10-17,Qualcomm,258670
283111,2016-10-17,NetEase,23522
283137,2016-10-17,Activision,88009
283153,2016-10-17,Paychex,46297
283194,2016-10-17,Dexcom,12630
283275,2016-10-17,ADP,348070
283364,2016-10-17,Amgen,240485
283412,2016-10-17,Illumina,74837
283491,2016-10-17,NVIDIA,184896
283508,2016-10-17,PepsiCo,1292103
283516,2016-10-17,Copart,12285
283517,2016-10-17,Intuit,122233
283543,2016-10-17,Facebook,1349756
283685,2016-10-18,AMD,144057
283738,2016-10-18,Cognizant,969732
283801,2016-10-18,CDW,63645
283829,2016-10-18,Intel Corporation,797040
283852,2016-10-18,Fiserv,123754
283869,2016-10-18,Cisco,1314091
283907,2016-10-18,Sirius XM Radio Inc.,26458
283924,2016-10-18,T-Mobile,202011
283966,2016-10-18,Lam Research,32505
283973,2016-10-18,eBay,252426
283981,2016-10-18,Amazon,1829429
283987,2016-10-18,Adobe,620105
284014,2016-10-18,Xilinx,66795
284019,2016-10-18,PayPal,218194
284029,2016-10-18,Apple,3162417
284055,2016-10-18,Cintas,56896
284058,2016-10-18,Verisk Analytics,19879
284073,2016-10-18,Google,4436137
284076,2016-10-18,Maxim Integrated,39236
284088,2016-10-18,Texas Instruments,210444
284092,2016-10-18,Atlassian,68301
284115,2016-10-18,Exelon,54783
284136,2016-10-18,Biogen,111948
284138,2016-10-18,TripAdvisor,138426
284143,2016-10-18,Workday,120435
284155,2016-10-18,CSX,48521
284157,2016-10-18,IDEXX,34189
284171,2016-10-18,Electronic Arts (EA),258477
284211,2016-10-18,DocuSign,33708
284215,2016-10-18,Starbucks,731062
284239,2016-10-18,Gilead Sciences,133356
284247,2016-10-18,Dollar Tree Stores,28210
284257,2016-10-18,Cerner Corporation,103754
284270,2016-10-18,Analog Devices,56252
284272,2016-10-18,Broadcom Limited,127952
284282,2016-10-18,Marvell Semiconductor,78474
284300,2016-10-18,Match.com,8630
284301,2016-10-18,Applied Materials,97467
284304,2016-10-18,Charter Communications,43559
284306,2016-10-18,21st Century Fox,7673
284307,2016-10-18,Intuitive Surgical,43291
284308,2016-10-18,The Kraft Heinz Company,247522
284310,2016-10-18,Mondelēz International,556177
284311,2016-10-18,Monster Energy,26173
284312,2016-10-18,Netflix,358776
284313,2016-10-18,NXP Semiconductors,97601
284314,2016-10-18,Costco Wholesale,146667
284319,2016-10-18,Walgreens,183974
284322,2016-10-18,American Electric Power,33177
284357,2016-10-18,Tesla,818503
284360,2016-10-18,Splunk,66083
284367,2016-10-18,Vertex Pharmaceuticals,57340
284412,2016-10-18,Cadence Design Systems,57957
284443,2016-10-18,Xcel Energy,38340
284448,2016-10-18,Comcast,178218
284449,2016-10-18,Marriott International,455154
284468,2016-10-18,Micron Technology,71655
284470,2016-10-18,O'Reilly Auto Parts,21362
284477,2016-10-18,Align Technology,18174
284503,2016-10-18,KLA-Tencor,57279
284508,2016-10-18,Microchip Technology Inc.,45524
284509,2016-10-18,PACCAR,32748
284510,2016-10-18,Mercadolibre.com,34573
284527,2016-10-18,Microsoft,3159688
284532,2016-10-18,VERISIGN,22528
284585,2016-10-18,Qualcomm,258779
284586,2016-10-18,NetEase,23551
284612,2016-10-18,Activision,88054
284628,2016-10-18,Paychex,46323
284669,2016-10-18,Dexcom,12640
284750,2016-10-18,ADP,348331
284835,2016-10-18,Amgen,240642
284886,2016-10-18,Illumina,74917
284966,2016-10-18,NVIDIA,185000
284983,2016-10-18,PepsiCo,1292824
284991,2016-10-18,Copart,12297
284992,2016-10-18,Intuit,122293
285007,2016-10-18,Facebook,1350663
285160,2016-10-19,AMD,144146
285213,2016-10-19,Cognizant,971072
285276,2016-10-19,CDW,63663
285304,2016-10-19,Intel Corporation,797850
285327,2016-10-19,Fiserv,123856
285344,2016-10-19,Cisco,1315079
285382,2016-10-19,Sirius XM Radio Inc.,26475
285399,2016-10-19,T-Mobile,202183
285441,2016-10-19,Lam Research,32521
285448,2016-10-19,eBay,252606
285456,2016-10-19,Amazon,1831618
285462,2016-10-19,Adobe,620636
285489,2016-10-19,Xilinx,66854
285494,2016-10-19,PayPal,218442
285503,2016-10-19,Apple,3164554
285530,2016-10-19,Cintas,56929
285533,2016-10-19,Verisk Analytics,19931
285548,2016-10-19,Google,4439287
285551,2016-10-19,Maxim Integrated,39277
285563,2016-10-19,Texas Instruments,210589
285567,2016-10-19,Atlassian,68383
285590,2016-10-19,Exelon,54823
285610,2016-10-19,Biogen,112069
285613,2016-10-19,TripAdvisor,138551
285618,2016-10-19,Workday,120570
285630,2016-10-19,CSX,48537
285632,2016-10-19,IDEXX,34220
285646,2016-10-19,Electronic Arts (EA),258655
285686,2016-10-19,DocuSign,33753
285690,2016-10-19,Starbucks,731486
285714,2016-10-19,Gilead Sciences,133473
285722,2016-10-19,Dollar Tree Stores,28243
285732,2016-10-19,Cerner Corporation,103828
285745,2016-10-19,Analog Devices,56289
285747,2016-10-19,Broadcom Limited,128019
285757,2016-10-19,Marvell Semiconductor,78520
285775,2016-10-19,Match.com,8640
285776,2016-10-19,Applied Materials,97543
285779,2016-10-19,Charter Communications,43641
285781,2016-10-19,21st Century Fox,7682
285782,2016-10-19,Intuitive Surgical,43325
285783,2016-10-19,The Kraft Heinz Company,247956
285785,2016-10-19,Mondelēz International,556841
285786,2016-10-19,Monster Energy,26204
285787,2016-10-19,Netflix,359259
285788,2016-10-19,NXP Semiconductors,97785
285789,2016-10-19,Costco Wholesale,146762
